en	la	level	source
The farmer walks to the field.	Agricola ad agrum ambulat.	4	reference
Caesar came, saw, conquered.	Caesar venit, vidit, vicit.	6	reference
The girl loves the rose.	Puella rosam amat.	2	reference
The soldiers march to Rome.	Milites Romam marchant.	4	reference
The boy reads the book.	Puer librum legit.	3	reference
In the beginning was the word.	In principio erat verbum.	5	reference
The senate and the Roman people.	Senatus Populusque Romanus.	6	reference
The mother loves her children.	Mater liberos suos amat.	3	reference
The horse runs fast.	Equus celeriter currit.	3	reference
Friends, Romans, countrymen.	Amici, Romani, cives.	5	reference
The gods are immortal.	Dei immortales sunt.	4	reference
Fortune favours the brave.	Fortuna fortes iuvat.	5	reference
All roads lead to Rome.	Omnes viae Romam ducunt.	5	reference
I came, I saw, I conquered.	Veni, vidi, vici.	6	reference
The truth shall set you free.	Veritas vos liberabit.	5	reference
Love conquers all.	Amor vincit omnia.	5	reference
Knowledge is power.	Scientia est potentia.	5	reference
The die is cast.	Alea iacta est.	6	reference
Time flies.	Tempus fugit.	4	reference
Art is long, life is short.	Ars longa, vita brevis.	5	reference
The dog barks.	Canis latrat.	1	reference
The cat sits.	Feles sedet.	1	reference
The sun shines.	Sol lucet.	2	reference
Water flows.	Aqua fluit.	2	reference
The sky is blue.	Caelum caeruleum est.	2	reference
The father works.	Pater laborat.	2	reference
The woman reads.	Femina legit.	2	reference
The child plays.	Puer ludit.	2	reference
The soldier fights.	Miles pugnat.	3	reference
The king rules.	Rex regnat.	3	reference
The poet writes.	Poeta scribit.	3	reference
The teacher speaks.	Magister dicit.	3	reference
The student learns.	Discipulus discit.	3	reference
The river flows to the sea.	Flumen ad mare fluit.	3	reference
The bird sings in the tree.	Avis in arbore canit.	3	reference
We praise the gods.	Deos laudamus.	4	reference
The army crosses the river.	Exercitus flumen transit.	4	reference
The citizens defend the city.	Cives urbem defendunt.	4	reference
The philosopher seeks wisdom.	Philosophus sapientiam quaerit.	5	reference
Virtue is its own reward.	Virtus sibi ipsa praemium est.	6	reference
The laws of the Romans.	Leges Romanorum.	4	reference
He fought bravely for Rome.	Pro Roma fortiter pugnavit.	5	reference
The gods watch over Rome.	Di Romam custodiunt.	4	reference
To be or not to be.	Esse aut non esse.	5	reference
Cicero speaks in the senate.	Cicero in senatu dicit.	5	reference
The consul commands the legions.	Consul legiones imperat.	5	reference
A sound mind in a sound body.	Mens sana in corpore sano.	6	reference
The fates lead the willing.	Fata volentes ducunt.	6	reference
I think therefore I am.	Cogito ergo sum.	6	reference
Seize the day.	Carpe diem.	5	reference
